Name,Price,Location,Year,Condition,Km,Origin,Style,Manufacture,Color,Seat,Window
Lexus RX 350 - 2017,2630,Hà Nội,2017.0,Xe đã dùng,83000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
Toyota Land Cruiser VX 4.6 V8 - 2017,3395,Hà Nội,2017.0,Xe đã dùng,96000.0,Nhập khẩu,SUV,Xăng,Đen,8.0,5.0
Mercedes Benz S class S450L Luxury - 2020,2899,Hà Nội,2020.0,Xe đã dùng,55000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Lexus LM 350 - 2022,6900,Hà Nội,2022.0,Xe đã dùng,13000.0,Nhập khẩu,Van/Minivan,Xăng,Đen,4.0,5.0
Mercedes Benz E class E200 Sport - 2019,1289,Hà Nội,2019.0,Xe đã dùng,69000.0,Lắp ráp trong nước,Sedan,Xăng,Đỏ,5.0,4.0
Mercedes Benz E class E250 - 2017,1089,Hà Nội,2017.0,Xe đã dùng,67000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Lexus RX 350L - 2021,3699,Hà Nội,2021.0,Xe đã dùng,52000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
LandRover Range Rover Autobiography 5.0 - 2013,2399,Hà Nội,2013.0,Xe đã dùng,96000.0,Nhập khẩu,SUV,Xăng,Đen,4.0,5.0
Mercedes Benz C class C250 Exclusive - 2016,699,Hà Nội,2016.0,Xe đã dùng,100000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
LandRover Range Rover SVAutobiography LWB 3.0 I6 - 2021,8999,Hà Nội,2021.0,Xe đã dùng,32000.0,Nhập khẩu,SUV,Xăng,Trắng,4.0,5.0
Audi A6 2.0 TFSI - 2017,950,Hà Nội,2017.0,Xe đã dùng,76000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
BMW 5 Series 520i - 2018,1190,Hà Nội,2018.0,Xe đã dùng,73000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Lexus RX 350 F-Sport - 2016,2459,Hà Nội,2016.0,Xe đã dùng,88000.0,Nhập khẩu,SUV,Xăng,Đen,5.0,5.0
Mercedes Benz Maybach GLS 600 4Matic - 2022,9799,Hà Nội,2022.0,Xe đã dùng,37000.0,Nhập khẩu,SUV,Xăng,Xanh,4.0,5.0
Mercedes Benz Maybach S450 4Matic - 2018,3880,Hà Nội,2018.0,Xe đã dùng,40000.0,Nhập khẩu,Sedan,Xăng,Đen,5.0,4.0
Mini Cooper S 5Dr - 2019,1339,Hà Nội,2019.0,Xe đã dùng,33000.0,Nhập khẩu,Hatchback,Xăng,Xanh,5.0,5.0
BMW 5 Series 520i - 2018,1179,Hà Nội,2018.0,Xe đã dùng,75000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz Maybach S450 4Matic - 2019,4380,Hà Nội,2019.0,Xe đã dùng,46000.0,Nhập khẩu,Sedan,Xăng,Xanh,5.0,4.0
Ford Ranger Raptor 2.0L 4x4 AT - 2023,1189,TP HCM,2023.0,Xe đã dùng,23000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Xanh,5.0,4.0
Mercedes Benz GLC 300 4Matic - 2021,1839,Hà Nội,2021.0,Xe đã dùng,42000.0,Lắp ráp trong nước,SUV,Xăng,Đỏ,5.0,5.0
Lexus NX 300 - 2019,1850,Hà Nội,2019.0,Xe đã dùng,60000.0,Nhập khẩu,SUV,Xăng,Nâu,5.0,5.0
BMW 7 Series 740Li - 2018,2345,Hà Nội,2018.0,Xe đã dùng,30000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Toyota Land Cruiser VX 4.6 V8 - 2016,3060,Hà Nội,2016.0,Xe đã dùng,11000.0,Nhập khẩu,SUV,Xăng,Đen,8.0,5.0
Mercedes Benz GLS 450 4Matic - 2022,4450,Hà Nội,2022.0,Xe đã dùng,50000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Lexus RX 300 - 2020,2789,Hà Nội,2020.0,Xe đã dùng,66000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
Porsche Cayenne 3.0 V6 - 2020,3990,Hà Nội,2020.0,Xe đã dùng,69000.0,Nhập khẩu,SUV,Xăng,Xanh,5.0,5.0
Mercedes Benz GLC 250 4Matic - 2017,950,Hà Nội,2017.0,Xe đã dùng,80450.0,Lắp ráp trong nước,SUV,Xăng,Xanh,5.0,5.0
Mercedes Benz GLC 200 4Matic - 2021,1579,Hà Nội,2021.0,Xe đã dùng,36000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Mercedes Benz GLS 450 4Matic - 2019,3680,Hà Nội,2019.0,Xe đã dùng,58000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Mercedes Benz S class S450L Luxury - 2020,2939,Hà Nội,2020.0,Xe đã dùng,55000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Mitsubishi Attrage 1.2 CVT Eco - 2019,305,Hà Nội,2019.0,Xe đã dùng,70000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz G class G63 AMG - 2021,9700,Hà Nội,2021.0,Xe đã dùng,23000.0,Nhập khẩu,SUV,Xăng,Xanh,5.0,5.0
Lexus RX 350L - 2021,3680,Hà Nội,2021.0,Xe đã dùng,69000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Toyota Yaris 1.3G - 2014,360,Hà Nội,2014.0,Xe đã dùng,90000.0,Nhập khẩu,Hatchback,Xăng,Trắng,5.0,5.0
Mercedes Benz S class S450 Luxury - 2021,4299,Hà Nội,2021.0,Xe đã dùng,35000.0,Nhập khẩu,Sedan,Xăng,Đen,5.0,4.0
Mazda CX5 Luxury 2.0 AT - 2023,799,Hà Nội,2023.0,Xe đã dùng,10000.0,Lắp ráp trong nước,SUV,Xăng,Xanh,5.0,5.0
Honda Civic 2.0 AT - 2008,219,Hà Nội,2008.0,Xe đã dùng,10000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Toyota Camry 2.0G - 2019,790,Hà Nội,2019.0,Xe đã dùng,50000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Toyota Fortuner 2.4L 4x2 AT - 2022,988,Hà Nội,2022.0,Xe đã dùng,55000.0,Lắp ráp trong nước,SUV,Dầu,Đen,7.0,5.0
Toyota Fortuner 2.7V 4x2 AT - 2017,719,TP HCM,2017.0,Xe đã dùng,120000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Ford Ranger XLS 2.0L 4x4 AT - 2022,705,TP HCM,2022.0,Xe đã dùng,32000.0,Lắp ráp trong nước,Bán tải / Pickup,Dầu,Xám,5.0,4.0
Hyundai SantaFe Premium 2.4L HTRAC - 2019,830,Hà Nội,2019.0,Xe đã dùng,46000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Kia Sorento Signature 2.2 AT AWD - 2021,955,Hà Nội,2021.0,Xe đã dùng,33000.0,Lắp ráp trong nước,SUV,Dầu,Xanh,7.0,5.0
Ford EcoSport Titanium 1.5 AT - 2020,480,Hà Nội,2020.0,Xe đã dùng,30000.0,Lắp ráp trong nước,SUV,Xăng,Đỏ,5.0,5.0
Chevrolet Spark Van 1.0 AT - 2011,105,Hà Nội,2011.0,Xe đã dùng,120000.0,Nhập khẩu,Van/Minivan,Xăng,Trắng,2.0,5.0
Ford Ranger Wildtrak 3.2L 4x4 AT - 2017,565,Hà Nội,2017.0,Xe đã dùng,90000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Trắng,5.0,4.0
Mercedes Benz GLC 300 4Matic - 2021,1799,Hà Nội,2021.0,Xe đã dùng,43000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Toyota Fortuner 2.7V 4x2 AT - 2015,460,Hà Nội,2015.0,Xe đã dùng,0.0,Lắp ráp trong nước,SUV,Xăng,Bạc,7.0,5.0
Toyota Corolla Cross 1.8V - 2021,760,Hà Nội,2021.0,Xe đã dùng,17000.0,Nhập khẩu,SUV,Xăng,Trắng,5.0,5.0
Mercedes Benz E class E300 AMG - 2021,2099,Hà Nội,2021.0,Xe đã dùng,20000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
LandRover Range Rover Autobiography LWB 5.0 - 2014,3380,TP HCM,2014.0,Xe đã dùng,58108.0,Nhập khẩu,SUV,Xăng,Trắng,4.0,5.0
Mitsubishi Attrage Premium 1.2 CVT - 2021,388,TP HCM,2021.0,Xe đã dùng,24000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Toyota Vios E CVT - 2021,435,Hà Nội,2021.0,Xe đã dùng,48000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Mercedes Benz C class C300 AMG - 2018,959,Hà Nội,2018.0,Xe đã dùng,50000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Honda CRV L - 2020,865,Hà Nội,2020.0,Xe đã dùng,42000.0,Lắp ráp trong nước,SUV,Xăng,Xanh,7.0,5.0
Mitsubishi Xpander Cross 1.5 AT - 2023,679,Hà Nội,2023.0,Xe đã dùng,19000.0,Nhập khẩu,SUV,Xăng,Cam,7.0,5.0
Kia Morning EX - 2017,169,Hà Nội,2017.0,Xe đã dùng,150000.0,Lắp ráp trong nước,Hatchback,Xăng,Trắng,5.0,5.0
Mercedes Benz E class E200 Sport - 2019,1385,Hà Nội,2019.0,Xe đã dùng,57000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Toyota Corolla Cross 1.8V - 2020,675,TP HCM,2020.0,Xe đã dùng,64000.0,Nhập khẩu,SUV,Xăng,Đỏ,5.0,5.0
Mercedes Benz C class C200 - 2019,900,Hà Nội,2019.0,Xe đã dùng,64000.0,Lắp ráp trong nước,Sedan,Xăng,Đỏ,5.0,4.0
Mercedes Benz GLC 300 4Matic - 2021,1850,TP HCM,2021.0,Xe đã dùng,57000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Toyota Fortuner 2.4G 4x2 AT - 2021,960,TP HCM,2021.0,Xe đã dùng,32900.0,Lắp ráp trong nước,SUV,Dầu,Bạc,7.0,5.0
Ford Everest Titanium 2.0L 4x2 AT - 2022,1035,Hà Nội,2022.0,Xe đã dùng,40000.0,Nhập khẩu,SUV,Dầu,Đen,7.0,5.0
LandRover Range Rover Autobiography 3.0 - 2014,2590,Hà Nội,2014.0,Xe đã dùng,68000.0,Nhập khẩu,SUV,Xăng,Đen,5.0,5.0
Mercedes Benz E class E250 - 2010,320,TP HCM,2010.0,Xe đã dùng,140000.0,Lắp ráp trong nước,Sedan,Xăng,Nâu,5.0,4.0
Mercedes Benz G class G63 AMG - 2021,9379,TP HCM,2021.0,Xe đã dùng,40000.0,Nhập khẩu,SUV,Xăng,Vàng,5.0,5.0
Toyota Vios G 1.5 CVT - 2022,505,Hà Nội,2022.0,Xe đã dùng,36000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Kia Sedona 3.3L GATH - 2018,685,Hà Nội,2018.0,Xe đã dùng,100000.0,Lắp ráp trong nước,Van/Minivan,Xăng,Trắng,7.0,5.0
Mercedes Benz GLB 200 AMG - 2022,1479,TP HCM,2022.0,Xe đã dùng,28800.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Toyota Vios E CVT - 2021,445,Hà Nội,2021.0,Xe đã dùng,48000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Mercedes Benz C class C200 - 2019,860,Hà Nội,2019.0,Xe đã dùng,60000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz GLE Class GLE 450 4Matic - 2019,2850,Hà Nội,2019.0,Xe đã dùng,60000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Ford EcoSport Titanium 1.5L AT - 2017,385,Hà Nội,2017.0,Xe đã dùng,69000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Kia Cerato 2.0 AT Premium - 2020,535,Hà Nội,2020.0,Xe đã dùng,50000.0,Lắp ráp trong nước,Sedan,Xăng,Xanh,5.0,4.0
VinFast Lux SA 2.0 2.0 AT - 2021,745,Hà Nội,2021.0,Xe đã dùng,49000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Toyota Zace DX - 2004,109,TP HCM,2004.0,Xe đã dùng,150000.0,Lắp ráp trong nước,SUV,Xăng,Xanh,8.0,5.0
Toyota Alphard 3.5 V6 - 2015,2150,Hà Nội,2015.0,Xe đã dùng,0.0,Nhập khẩu,Van/Minivan,Xăng,Đen,7.0,5.0
Toyota Alphard Executive Lounge - 2018,2750,Hà Nội,2018.0,Xe đã dùng,0.0,Nhập khẩu,Van/Minivan,Xăng,Đen,7.0,5.0
Mercedes Benz C class C200 Exclusive - 2020,1099,TP HCM,2020.0,Xe đã dùng,58000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz GLC 250 4Matic - 2017,950,Hà Nội,2017.0,Xe đã dùng,80000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,5.0,5.0
Mercedes Benz GLC 200 - 2019,1090,TP HCM,2019.0,Xe đã dùng,50000.0,Lắp ráp trong nước,SUV,Xăng,Đen,5.0,5.0
Toyota Fortuner 2.7V 4x4 AT - 2019,885,Hà Nội,2019.0,Xe đã dùng,0.0,Nhập khẩu,SUV,Xăng,Nâu,7.0,5.0
Rolls Royce Cullinan 6.75 V12 - 2022,22500,Hà Nội,2022.0,Xe đã dùng,1000.0,Nhập khẩu,SUV,Xăng,Trắng,4.0,5.0
Toyota Innova G - 2009,195,Hà Nội,2009.0,Xe đã dùng,210000.0,Lắp ráp trong nước,Crossover,Xăng,Bạc,8.0,5.0
Toyota Vios 1.5E CVT - 2020,430,Hà Nội,2020.0,Xe đã dùng,0.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Ford Ranger Wildtrak 2.2L 4x4 AT - 2015,460,TP HCM,2015.0,Xe đã dùng,134600.0,Nhập khẩu,Bán tải / Pickup,Dầu,Trắng,5.0,4.0
Lexus RX 350 F-Sport - 2016,2390,Hà Nội,2016.0,Xe đã dùng,89000.0,Nhập khẩu,SUV,Xăng,Đen,5.0,5.0
Hyundai HD 78 - 2015,400,Hà Nội,2015.0,Xe đã dùng,0.0,Nhập khẩu,Truck,Dầu,Xanh,3.0,2.0
Mercedes Benz GLE Class GLE 450 4Matic - 2022,4300,TP HCM,2022.0,Xe đã dùng,30.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
BMW 3 Series 320i - 2014,460,Hà Nội,2014.0,Xe đã dùng,120000.0,Nhập khẩu,Sedan,Xăng,Trắng,5.0,4.0
Mercedes Benz S class S450L - 2018,2080,Hà Nội,2018.0,Xe đã dùng,0.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
VinFast Lux A 2.0 Tiêu chuẩn - 2022,699,Hà Nội,2022.0,Xe đã dùng,4000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Ford Fiesta S 1.5 AT - 2018,360,TP HCM,2018.0,Xe đã dùng,57000.0,Lắp ráp trong nước,Hatchback,Xăng,Trắng,5.0,5.0
VinFast VF6 Plus - 2023,770,Hà Nội,2023.0,Xe đã dùng,3000.0,Lắp ráp trong nước,SUV,Điện,Xám,5.0,5.0
Toyota Land Cruiser VX 4.6 V8 - 2019,3880,Hà Nội,2019.0,Xe đã dùng,130000.0,Nhập khẩu,SUV,Xăng,Đen,8.0,5.0
Chevrolet Vivant CDX AT - 2008,135,Hà Nội,2008.0,Xe đã dùng,0.0,Lắp ráp trong nước,Crossover,Xăng,Bạc,7.0,5.0
Mercedes Benz GLE Class GLE 450 4Matic - 2021,3269,TP HCM,2021.0,Xe đã dùng,55000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Mercedes Benz GLC 200 - 2022,1539,Hà Nội,2022.0,Xe đã dùng,16000.0,Lắp ráp trong nước,SUV,Xăng,Xám,5.0,5.0
Honda CRV G - 2020,785,Hà Nội,2020.0,Xe đã dùng,60000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Ford Territory Titanium X 1.5 AT - 2022,852,TP HCM,2022.0,Xe đã dùng,10300.0,Lắp ráp trong nước,SUV,Xăng,Đen,5.0,5.0
Peugeot 3008 Allure 1.6 AT - 2021,728,Hà Nội,2021.0,Xe đã dùng,0.0,Lắp ráp trong nước,Crossover,Xăng,Vàng,5.0,5.0
Mercedes Benz C class C300 AMG - 2019,1068,Hà Nội,2019.0,Xe đã dùng,43000.0,Lắp ráp trong nước,Sedan,Xăng,Đỏ,5.0,4.0
Toyota Vios E 1.5 MT - 2023,430,TP HCM,2023.0,Xe đã dùng,38000.0,Lắp ráp trong nước,Sedan,Xăng,Bạc,5.0,4.0
BMW X7 xDrive40i M Sport - 2021,4350,Hà Nội,2021.0,Xe đã dùng,50000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Toyota Fortuner 2.4G 4x2 MT - 2017,715,Hà Nội,2017.0,Xe đã dùng,60000.0,Nhập khẩu,SUV,Dầu,Trắng,7.0,5.0
Ford Everest Titanium 2.2L 4x2 AT - 2016,705,Hà Nội,2016.0,Xe đã dùng,93000.0,Nhập khẩu,SUV,Dầu,Trắng,7.0,5.0
Hyundai Elantra 1.6 AT Đặc biệt - 2022,599,Hà Nội,2022.0,Xe đã dùng,24000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Kia Sorento GATH - 2016,499,Hà Nội,2016.0,Xe đã dùng,8900.0,Lắp ráp trong nước,SUV,Xăng,Nâu,7.0,5.0
Audi Q7 3.0 AT - 2012,655,Hà Nội,2012.0,Xe đã dùng,0.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Toyota Corolla altis 2.0V - 2010,360,TP HCM,2010.0,Xe đã dùng,95900.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Kia Morning EX - 2016,155,Hà Nội,2016.0,Xe đã dùng,90000.0,Lắp ráp trong nước,Hatchback,Xăng,Bạc,5.0,5.0
Hyundai Creta Tiêu chuẩn 1.5 AT - 2022,589,Hà Nội,2022.0,Xe đã dùng,8000.0,Nhập khẩu,Crossover,Xăng,Đỏ,5.0,5.0
Mercedes Benz S class S450L - 2019,2670,Hà Nội,2019.0,Xe đã dùng,12000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Lexus LX 570 - 2020,8050,Hà Nội,2020.0,Xe đã dùng,19000.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Mercedes Benz GLC 300 4Matic - 2016,915,Hà Nội,2016.0,Xe đã dùng,0.0,Lắp ráp trong nước,SUV,Xăng,Nhiều màu,5.0,5.0
Mitsubishi Xpander 1.5 MT - 2021,469,TP HCM,2021.0,Xe đã dùng,80000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Toyota Fortuner 2.7V 4x2 AT TRD - 2019,840,Hà Nội,2019.0,Xe đã dùng,48000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Toyota Avanza Premio 1.5 AT - 2023,595,TP HCM,2023.0,Xe đã dùng,19000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Volkswagen Tiguan Allspace - 2018,899,Hà Nội,2018.0,Xe đã dùng,53000.0,Nhập khẩu,SUV,Xăng,Trắng,7.0,5.0
Ford Ranger Wildtrak 2.0L 4x4 AT - 2019,650,Hà Nội,2019.0,Xe đã dùng,87000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Trắng,5.0,4.0
Isuzu Hi lander V-spec 2.5 AT - 2004,138,Hà Nội,2004.0,Xe đã dùng,0.0,Lắp ráp trong nước,SUV,Dầu,Đen,8.0,5.0
Toyota Prado TXL 2.7L - 2015,1248,Hà Nội,2015.0,Xe đã dùng,11999.0,Nhập khẩu,SUV,Xăng,Đen,7.0,5.0
Hyundai Kona 2.0 AT - 2021,515,Hà Nội,2021.0,Xe đã dùng,20000.0,Lắp ráp trong nước,Crossover,Xăng,Trắng,5.0,5.0
Mitsubishi Outlander Premium 2.0 CVT - 2021,720,Hà Nội,2021.0,Xe đã dùng,50000.0,Lắp ráp trong nước,SUV,Xăng,Đen,7.0,5.0
Isuzu Dmax LS 3.0 4x4 MT - 2011,255,Hà Nội,2011.0,Xe đã dùng,160000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Xám,5.0,4.0
Toyota Land Cruiser VX 4.6 V8 - 2016,2979,TP HCM,2016.0,Xe đã dùng,112000.0,Nhập khẩu,SUV,Xăng,Đen,8.0,5.0
Mercedes Benz E class E250 - 2017,999,Hà Nội,2017.0,Xe đã dùng,90000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
Ford Ranger Wildtrak 3.2L 4x4 AT - 2016,545,Hà Nội,2016.0,Xe đã dùng,98000.0,Nhập khẩu,Bán tải / Pickup,Dầu,Vàng,5.0,4.0
Peugeot 408 Allure 1.6 AT - 2023,1010,Hà Nội,2023.0,Xe đã dùng,19000.0,Lắp ráp trong nước,Crossover,Xăng,Trắng,5.0,5.0
Kia Rondo GATH - 2016,410,TP HCM,2016.0,Xe đã dùng,61000.0,Lắp ráp trong nước,SUV,Xăng,Cát,7.0,5.0
Peugeot 2008 GT Line 1.2 AT - 2021,639,TP HCM,2021.0,Xe đã dùng,28000.0,Lắp ráp trong nước,Crossover,Xăng,Cam,5.0,5.0
Porsche Cayenne GTS - 2008,680,Hà Nội,2008.0,Xe đã dùng,112500.0,Nhập khẩu,SUV,Xăng,Đen,5.0,6.0
LandRover Range Rover Autobiography LWB 5.0 - 2015,3830,Hà Nội,2015.0,Xe đã dùng,76000.0,Nhập khẩu,SUV,Xăng,Đen,4.0,5.0
Hyundai Solati H350 2.5 MT - 2019,980,Hà Nội,2019.0,Xe đã dùng,0.0,Lắp ráp trong nước,Van/Minivan,Dầu,Đen,16.0,4.0
Mazda 3 1.5L Deluxe - 2021,535,Hà Nội,2021.0,Xe đã dùng,40000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Honda CRV L - 2023,995,Hà Nội,2023.0,Xe đã dùng,20000.0,Lắp ráp trong nước,SUV,Xăng,Trắng,7.0,5.0
Toyota Vios 1.5E MT - 2019,309,Hà Nội,2019.0,Xe đã dùng,80963.0,Lắp ráp trong nước,Sedan,Xăng,Cát,5.0,4.0
Mercedes Benz S class S450 4Matic Luxury - 2024,4599,TP HCM,2024.0,Xe đã dùng,21000.0,Nhập khẩu,Sedan,Xăng,Đen,5.0,4.0
BMW 3 Series 320i Sport Line - 2020,1189,TP HCM,2020.0,Xe đã dùng,40000.0,Nhập khẩu,Sedan,Xăng,Xanh,5.0,4.0
Lexus ES 250 - 2018,1690,Hà Nội,2018.0,Xe đã dùng,50000.0,Nhập khẩu,Sedan,Xăng,Cát,5.0,4.0
VinFast Lux SA 2.0 Cao cấp - 2022,899,Hà Nội,2022.0,Xe đã dùng,46000.0,Lắp ráp trong nước,SUV,Xăng,Đen,7.0,5.0
Toyota Fortuner 2.7V 4x2 AT - 2021,965,TP HCM,2021.0,Xe đã dùng,9000.0,Nhập khẩu,SUV,Xăng,Nâu,7.0,5.0
Mercedes Benz S class S500L - 2014,1370,Hà Nội,2014.0,Xe đã dùng,130000.0,Lắp ráp trong nước,Sedan,Xăng,Trắng,5.0,4.0
Hyundai Avante 1.6 AT - 2012,269,TP HCM,2012.0,Xe đã dùng,81000.0,Lắp ráp trong nước,Sedan,Xăng,Đen,5.0,4.0
MG 5 Luxury 1.5 AT - 2022,440,Hà Nội,2022.0,Xe đã dùng,30000.0,Nhập khẩu,Sedan,Xăng,Vàng,5.0,4.0
Mazda CX5 Premium 2.0 AT - 2022,789,Hà Nội,2022.0,Xe đã dùng,16000.0,Lắp ráp trong nước,SUV,Xăng,Xanh,5.0,5.0
